reference,route,capture,viewport_width,viewport_height,document_width,document_height,pixel_similarity,gate_status
062__modules__organic__reactions.jpg,#modules/organic-reactions,062-organic.png,1672,941,1672,941,0.9226,below-0.95
063__modules__spectroscopy.jpg,#modules/spectroscopy,063-spectroscopy.png,1672,941,1672,941,0.9327,below-0.95
064__modules__biochemistry.jpg,#modules/biochemistry,064-biochemistry-v2.png,1672,941,1672,941,0.9069,below-0.95
065__modules__inorganic.jpg,#modules/inorganic,065-inorganic-v2.png,1672,941,1672,941,0.9081,below-0.95
066__modules__physical.jpg,#modules/physical,066-physical-v2.png,1672,941,1672,941,0.8957,below-0.95
067__modules__iupac.jpg,#modules/iupac,067-iupac-v2.png,1672,941,1672,941,0.9080,below-0.95
068__modules__retrosynthesis.jpg,#modules/retrosynthesis,068-retrosynthesis-v2.png,1672,941,1672,941,0.9154,below-0.95
069__modules.jpg,#modules,069-modules.png,1672,941,1672,941,0.9235,below-0.95
052__visuals__bio__membranes.jpg,#visuals/bio/membranes,052-membranes.png,1672,941,1672,941,not-measured,viewport-fit-verified
053__visuals__bio__carbohydrates.jpg,#visuals/bio/carbohydrates,053-carbohydrates.png,1672,941,1672,941,not-measured,viewport-fit-verified
054__visuals__bio__nucleic__acids.jpg,#visuals/bio/nucleic-acids,054-nucleic-acids.png,1672,941,1672,941,not-measured,viewport-fit-verified
055__visuals__bio__metabolism.jpg,#visuals/bio/metabolism,055-metabolism.png,1672,941,1672,941,not-measured,viewport-fit-verified
056__visuals__pharma.jpg,#visuals/pharma,056-pharma.png,1672,941,1672,941,not-measured,viewport-fit-verified
057__visuals__pharma__adme.jpg,#visuals/pharma/adme,057-adme.png,1672,941,1672,941,not-measured,viewport-fit-verified
058__visuals__pharma__dosage.jpg,#visuals/pharma/dosage,058-dosage.png,1672,941,1672,941,not-measured,viewport-fit-verified
059__visuals__pharma__qc.jpg,#visuals/pharma/qc,059-qc.png,1672,941,1672,941,not-measured,viewport-fit-verified
060__visuals__pharma__buffers.jpg,#visuals/pharma/buffers,060-buffers.png,1672,941,1672,941,not-measured,viewport-fit-verified
061__visuals__pharma__toxicology.jpg,#visuals/pharma/toxicology,061-toxicology.png,1672,941,1672,941,not-measured,viewport-fit-verified
033__practice__tutor.jpg,#practice-tutor,033-practice-tutor.png,1672,941,1672,941,not-measured,viewport-fit-verified
032__advanced__visuals.jpg,#advanced-visuals,032-advanced-visuals.png,1672,941,1672,941,0.6234,below-0.95
