reference,route,capture,viewport_width,viewport_height,document_width,document_height,mean_absolute_channel_error,block_luminance_ssim,gate_status
052__visuals__bio__membranes.jpg,#visuals/bio/membranes,052-membranes.png,1672,941,1672,941,30.33,0.47,below-0.95
053__visuals__bio__carbohydrates.jpg,#visuals/bio/carbohydrates,053-carbohydrates.png,1672,941,1672,941,23.72,0.54,below-0.95
054__visuals__bio__nucleic__acids.jpg,#visuals/bio/nucleic-acids,054-nucleic-acids.png,1672,941,1672,941,24.99,0.52,below-0.95
055__visuals__bio__metabolism.jpg,#visuals/bio/metabolism,055-metabolism.png,1672,941,1672,941,27.18,0.46,below-0.95
056__visuals__pharma.jpg,#visuals/pharma,056-pharma.png,1672,941,1672,941,28.13,0.51,below-0.95
057__visuals__pharma__adme.jpg,#visuals/pharma/adme,057-adme.png,1672,941,1672,941,27.77,0.48,below-0.95
058__visuals__pharma__dosage.jpg,#visuals/pharma/dosage,058-dosage.png,1672,941,1672,941,29.75,0.52,below-0.95
059__visuals__pharma__qc.jpg,#visuals/pharma/qc,059-qc.png,1672,941,1672,941,28.54,0.54,below-0.95
060__visuals__pharma__buffers.jpg,#visuals/pharma/buffers,060-buffers.png,1672,941,1672,941,25.12,0.51,below-0.95
061__visuals__pharma__toxicology.jpg,#visuals/pharma/toxicology,061-toxicology.png,1672,941,1672,941,24.82,0.50,below-0.95
